year,zone,temp
1934,A.90N-64N,0.61
1934,B.64N-44N,0.4
1934,C.44N-24N,-0.09
1934,D.24N-EQU,-0.29
1934,F.EQU-24S,-0.27
1934,G.24S-44S,-0.16
1934,H.44S-64S,-0.38
1934,I.64S-90S,-0.54
1935,A.90N-64N,0.14
1935,B.64N-44N,0.06
1935,C.44N-24N,-0.13
1935,D.24N-EQU,-0.19
1935,F.EQU-24S,-0.24
1935,G.24S-44S,-0.3
1935,H.44S-64S,-0.42
1935,I.64S-90S,-1.69
1936,A.90N-64N,0.12
1936,B.64N-44N,0.18
1936,C.44N-24N,-0.22
1936,D.24N-EQU,-0.06
1936,F.EQU-24S,-0.25
1936,G.24S-44S,-0.27
1936,H.44S-64S,-0.33
1936,I.64S-90S,-0.01
1937,A.90N-64N,0.97
1937,B.64N-44N,0.09
1937,C.44N-24N,0.01
1937,D.24N-EQU,0.02
1937,F.EQU-24S,-0.16
1937,G.24S-44S,-0.19
1937,H.44S-64S,-0.25
1937,I.64S-90S,0.39
1938,A.90N-64N,1.07
1938,B.64N-44N,0.44
1938,C.44N-24N,0.05
1938,D.24N-EQU,-0.2
1938,F.EQU-24S,-0.33
1938,G.24S-44S,-0.06
1938,H.44S-64S,-0.11
1938,I.64S-90S,-0.84
1939,A.90N-64N,0.47
1939,B.64N-44N,0.33
1939,C.44N-24N,0.1
1939,D.24N-EQU,-0.14
1939,F.EQU-24S,-0.17
1939,G.24S-44S,-0.05
1939,H.44S-64S,-0.19
1939,I.64S-90S,-1.58
1940,A.90N-64N,0.87
1940,B.64N-44N,0.04
1940,C.44N-24N,-0.06
1940,D.24N-EQU,0.24
1940,F.EQU-24S,0.25
1940,G.24S-44S,0.03
1940,H.44S-64S,-0.2
1940,I.64S-90S,-0.03
1941,A.90N-64N,-0.21
1941,B.64N-44N,-0.06
1941,C.44N-24N,0.12
1941,D.24N-EQU,0.53
1941,F.EQU-24S,0.41
1941,G.24S-44S,0.04
1941,H.44S-64S,-0.15
1941,I.64S-90S,-0.44
1942,A.90N-64N,0.28
1942,B.64N-44N,-0.02
1942,C.44N-24N,0.1
1942,D.24N-EQU,0.11
1942,F.EQU-24S,0.03
1942,G.24S-44S,0.06
1942,H.44S-64S,-0.05
1942,I.64S-90S,-0.87
1943,A.90N-64N,1.11
1943,B.64N-44N,0.28
1943,C.44N-24N,0.13
1943,D.24N-EQU,-0.12
1943,F.EQU-24S,-0.09
1943,G.24S-44S,0.08
1943,H.44S-64S,0
1943,I.64S-90S,1.16
1944,A.90N-64N,0.96
1944,B.64N-44N,0.5
1944,C.44N-24N,0.12
